ID,ACCOUNTID,START_DATE,END_DATE
0064x00000JODVWAA5,0014x000012evEgAAI,2022-10-31,2022-11-29
0064x00000C5NcTAAV,0014x00000sdrLBAAY,2022-02-15,2023-02-14
0064x00000AEA56AAH,0014x00000g6ANqAAM,2021-12-08,2022-12-07
0064x000007ITLCAA4,0014x00000GNJXxAAP,2022-04-04,2023-04-03
0064x000002AR8LAAW,0014x000005pCAwAAM,2019-08-24,2021-04-30
0064x000002AR8LAAW,0014x000005pCAwAAM,2019-08-24,2021-04-30
0064x000002AR8LAAW,0014x000005pCAwAAM,2019-08-24,2021-04-30
0064x000002AR8LAAW,0014x000005pCAwAAM,2019-08-24,2021-04-30
0064x000002AR8bAAG,0014x000005pBydAAE,2018-11-26,2019-11-25
0064x000002ARA0AAO,0014x000005pC9nAAE,2021-01-04,2021-02-03
0064x000002ARA1AAO,0014x000005pC2ZAAU,2020-11-30,2021-02-05
0064x000002ARA2AAO,0014x000005pC9yAAE,2021-02-16,2021-03-16
0064x000002ARA3AAO,0014x000005pC8eAAE,2020-11-16,2020-12-15
0064x000002ARA9AAO,0014x000005pBvdAAE,2020-03-09,2020-06-24
0064x000002ARAsAAO,0014x000005pC2OAAU,2020-06-29,2020-07-28
0064x000002ARBjAAO,0014x000005pC01AAE,2020-06-29,2020-07-28
0064x000002ARBlAAO,0014x000005pCEhAAM,2020-03-05,2020-06-05
0064x000002ARBwAAO,0014x000005pCChAAM,2020-07-27,2020-08-26
0064x000002ARCUAA4,0014x000005pC55AAE,2020-12-31,2023-12-30
0064x000002ARENAA4,0014x000005pBuIAAU,2020-10-26,2020-11-25
0064x000002AREtAAO,0014x000005pC8SAAU,2021-01-11,2021-02-16
0064x000002ARFMAA4,0014x000005pCBdAAM,2021-01-05,2021-02-04
0064x000002ARFSAA4,0014x000005pCEDAA2,2021-02-15,2022-02-14
0064x000002ARFUAA4,0014x000005pC3FAAU,2021-01-04,2021-02-03
0064x000002ARFVAA4,0014x000005pC9fAAE,2021-03-15,2021-04-14
0064x000002ARFZAA4,0014x00001JZeTxAAL,2020-01-27,2021-01-26
0064x000002ARFbAAO,0014x000005pC5MAAU,2018-12-31,2020-01-31
0064x000002ARFfAAO,0014x000005pC3qAAE,2019-06-03,2019-07-02
0064x000002ARFhAAO,0014x000005pBwvAAE,2018-10-01,2018-11-01
0064x000002ARFqAAO,0014x000005pC58AAE,2020-03-01,2020-09-30
0064x000002BxBGAA0,0014x00000A6ytWAAR,2021-03-01,2021-03-31
0064x000002CCLPAA4,0014x00000A9JEXAA3,2021-03-29,2021-04-28
0064x000002CLmaAAG,0014x00000DIzlHAAT,2021-03-22,2021-05-21
0064x000002CWKDAA4,0014x000005pC4EAAU,2021-06-02,2021-08-01
0064x000002CYYlAAO,0014x00000DIyrnAAD,2021-02-28,2022-02-27
0064x000002CdOdAAK,0014x00000EmX9aAAF,2021-08-23,2021-09-22
0064x000002CdOeAAK,0014x00000EmBIyAAN,2021-07-06,2021-09-05
0064x000002CddGAAS,0014x00000EmpvXAAR,2021-03-26,2022-03-25
0064x000007IDhRAAW,0014x00001rUbzIAAS,2021-05-03,2021-06-02
0064x000007IVS7AAO,0014x000005pC6FAAU,2021-08-30,2021-09-30
0064x000007KAPTAA4,0014x00000KZsuWAAT,2021-06-28,2021-08-27
0064x000007L7pdAAC,0014x00000zCjP7AAK,2021-08-23,2021-09-22
0064x000008msFvAAI,0014x000012eyq4AAA,2021-08-16,2022-08-15
0064x000008onxHAAQ,0014x00000SVjkSAAT,2021-08-30,2021-09-30
0064x000008p3KuAAI,0014x00000NSDTRAA5,2021-10-25,2021-11-24
0064x000009RugtAAC,0014x00000WwzSFAAZ,2021-10-18,2021-11-17
0064x00000ACTV9AAP,0014x00000edOVnAAM,2021-10-15,2021-11-14
0064x00000ACUGYAA5,0014x00000EnLEqAAN,2022-01-10,2022-02-09
0064x00000ADyhtAAD,0014x00000NTuhXAAT,2021-10-19,2021-11-18
0064x00000AUvi2AAD,0014x000005pBxHAAU,2022-01-17,2022-02-16
0064x00000AV0eVAAT,0014x00000EmPaIAAV,2021-12-31,2022-12-30
0064x00000AV2OeAAL,0014x00000SVlC0AAL,2021-11-12,2021-12-11
0064x00000AWzsuAAD,0014x00000kHNZoAAO,2021-11-15,2021-12-14
0064x00000Au3FCAAZ,0014x00000n6WNdAAM,2021-12-31,2023-01-31
0064x00000KDLKVAA5,0014x000005pC5lAAE,2019-08-01,2019-08-31
0064x000002D1zMAAS,0014x00000GNnQsAAL,2021-04-20,2022-04-19
0064x000007J2rNAAS,0014x00000KYE3VAAX,2021-06-14,2022-06-13
0064x000007JfZ7AAK,0014x00000NTFsmAAH,2021-06-30,2022-06-29
0064x000008oTEFAA2,0014x00000WuSGtAAN,2021-08-23,2022-08-22
0064x000008p2KeAAI,0014x00000WwpUtAAJ,2021-08-18,2022-08-17
0064x000009OXXaAAO,0014x00000Z2LVBAA3,2021-11-04,2022-11-03
0064x000009P7HjAAK,0014x000005pCCuAAM,2021-10-11,2022-10-10
0064x000009Pz7XAAS,0014x00000bv098AAA,2021-10-14,2022-10-13
0064x000009jodmAAA,0014x00000Z2z8AAAR,2021-10-27,2022-10-26
0064x00000ADvBCAA1,0014x00000efx0CAAQ,2022-01-24,2023-01-23
0064x00000AEie1AAD,0014x00000h7dC5AAI,2021-11-22,2022-11-21
0064x000002CluRAAS,0014x000005pC0MAAU,2021-03-22,2021-04-21
0064x000007J4lTAAS,0014x00000I7z64AAB,2021-05-24,2021-06-20
0064x00000C3nTJAAZ,0014x00000edGMmAAM,2021-12-20,2022-03-16
0064x000007Ibi5AAC,0014x00000A6oxlAAB,2021-05-28,2022-05-27
